TITLE,SGY_JSK_QTY_20230515,SGY_JSK_QTY_df_prev_week,CHANGE AMOUNT,CHANGE(%),CATEGORY
FG1ELF22P,156,52,-104,-66.67,KATAMEI
LR03NJ/12SW,88,16,-72,-81.82,KATAMEI
LR03NJ/8SW,114,44,-70,-61.4,KATAMEI
LR6NJ/12SW,102,33,-69,-67.65,KATAMEI
AMC-S5,94,29,-65,-69.15,KATAMEI
