TITLE,SGY_JSK_QTY_20230515,SGY_JSK_QTY_df_prev_week,CHANGE AMOUNT,CHANGE(%),CATEGORY
77115038,342,8,-334,-97.66,FD_BUNRUI
71111003,789,472,-317,-40.18,FD_BUNRUI
71111004,637,422,-215,-33.75,FD_BUNRUI
71113003,616,436,-180,-29.22,FD_BUNRUI
45403050,171,9,-162,-94.74,FD_BUNRUI
