TITLE,SGY_JSK_QTY_20230515,SGY_JSK_QTY_df_prev_week,CHANGE AMOUNT,CHANGE(%),CATEGORY
917,190,52,-138,-72.63,TANKA
633,240,111,-129,-53.75,TANKA
740,138,23,-115,-83.33,TANKA
2662,114,1,-113,-99.12,TANKA
2389,114,2,-112,-98.25,TANKA
