TITLE,SGY_JSK_QTY_20230515,SGY_JSK_QTY_df_prev_week,CHANGE AMOUNT,CHANGE(%),CATEGORY
泉北店(消耗家電),78,38,-40,-51.28,NIUKE_NM
新加古川店(消耗家電),48,16,-32,-66.67,NIUKE_NM
御影店(消耗家電),100,69,-31,-31.0,NIUKE_NM
くずはモール店(消耗家電),73,42,-31,-42.47,NIUKE_NM
みてじま店(消耗家電),52,23,-29,-55.77,NIUKE_NM
