TITLE,SGY_JSK_QTY_20230515,SGY_JSK_QTY_df_prev_week,CHANGE AMOUNT,CHANGE(%),CATEGORY
0.000108,158,57,-101,-63.92,CAPA
4.1085e-05,124,44,-80,-64.52,CAPA
0.00038295,175,100,-75,-42.86,CAPA
5.5e-05,89,19,-70,-78.65,CAPA
0.00038325,102,33,-69,-67.65,CAPA
